"id","category","denominazione_regione","date","origin_x","origin_y","bunches_x","bunches_y","clusters_x","clusters_y","stripes_x","stripes_y"
"Marc-rico-85","ricoverati_con_sintomi","Marche","2020-03-07","636.090","315.866","649.176","324.628","666.017","278.106","0.335",0.894
"Lomb-dime-40","dimessi_guariti","Lombardia","2020-03-07","-675.283","-898.487","-681.323","-906.351","-682.688","-982.678","0.923",0.884
"Lomb-isol-28","isolamento_domiciliare","Lombardia","2020-03-07","-675.283","-898.487","-685.570","-906.870","-635.438","-941.629","0.732",0.144
"Emil-dece-30","deceduti","Emilia Romagna","2020-03-07","-224.550","-430.431","-206.728","-412.485","-264.016","-400.434","0.010",0.802
"Emil-isol-402","isolamento_domiciliare","Emilia Romagna","2020-03-07","-224.550","-430.431","-208.489","-408.428","-255.749","-442.408","0.712",0.23
"Vene-tera-4","terapia_intensiva","Veneto","2020-03-07","100.320","-940.026","128.947","-948.162","77.279","-903.146","0.060",0.848
"Lomb-tera-55","terapia_intensiva","Lombardia","2020-03-07","-675.283","-898.487","-683.825","-903.019","-766.013","-866.224","0.111",0.281
"Vene-isol-12","isolamento_domiciliare","Veneto","2020-03-07","100.320","-940.026","126.564","-951.976","140.816","-939.734","0.711",0.226
"Lomb-rico-1493","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-679.710","-902.288","-679.462","-785.966","0.294",0.125
"Lomb-rico-459","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-687.803","-903.160","-675.774","-879.082","0.385",0.683
"Lomb-rico-760","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-679.753","-912.567","-682.263","-861.269","0.510",0.471
"Lomb-rico-858","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-682.137","-899.158","-744.886","-881.318","0.358",0.127
"Emil-isol-352","isolamento_domiciliare","Emilia Romagna","2020-03-07","-224.550","-430.431","-210.977","-413.585","-248.064","-453.495","0.606",0.747
"Lomb-isol-457","isolamento_domiciliare","Lombardia","2020-03-07","-675.283","-898.487","-676.837","-905.038","-634.712","-987.219","0.759",0.147
"Lomb-rico-1231","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-686.094","-898.492","-690.954","-878.523","0.514",0.205
"Vene-isol-105","isolamento_domiciliare","Veneto","2020-03-07","100.320","-940.026","128.373","-956.027","166.970","-924.611","0.765",0.307
"Lomb-rico-528","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-677.998","-898.280","-736.805","-835.198","0.355",0.841
"Lomb-dime-71","dimessi_guariti","Lombardia","2020-03-07","-675.283","-898.487","-689.878","-907.015","-697.966","-998.145","0.965",0.014
"Lomb-rico-586","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-678.323","-909.056","-712.309","-892.445","0.535",0.886
"Tosc-isol-21","isolamento_domiciliare","Toscana","2020-03-07","-184.562","300.178","-182.667","322.342","-164.269","317.280","0.712",0.457
"Lomb-rico-479","ricoverati_con_sintomi","Lombardia","2020-03-07","-675.283","-898.487","-687.743","-910.727","-716.202","-881.382","0.573",0.175
"Piem-rico-76","ricoverati_con_sintomi","Piemonte","2020-03-07","-1499.368","-690.628","-1525.299","-683.363","-1547.815","-672.846","0.183",0.441
